IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CPKO,KEOMA AGCM,,3033620,51.19056,-113.63056,945.0,GovAB,CA,AUTO,Alberta
CPKY,ROCKY LANE AGCM,,3075550,58.451683,-116.480560,301.0,GovAB,CA,AUTO,Alberta
CPLA,LINDEN AGCM,71035,3023850,51.618891,-113.655558,914.0,GovAB,CA,AUTO,Alberta
CPLC,LA CRETE AGCM,71542,3073730,58.171947,-116.342778,323.0,GovAB,CA,AUTO,Alberta
CPLE,LYNN LAKE RCS,71632,5061649,56.8618,-101.0681,355.7,MSC,CA,AUTO,Manitoba
CPLG,LA GLACE AGCM,71543,3073740,55.421945,-119.254723,760.0,GovAB,CA,AUTO,Alberta
CPLS,KEY LAKE,71033,4063753,57.25,-105.6,515.5,MSC,CA,AUTO,Saskatchewan
CPLY,ISPAS,,3065712,53.851389,-111.835283,655.0,GovAB,CA,AUTO,Alberta
CPLZ,LODGE CREEK,,3023900,49.45771,-110.3412,1068.0,GovAB,CA,AUTO,Alberta
CPMA,MANNVILLE AGCM,71047,3014195,53.455557,-111.255280,656.0,GovAB,CA,AUTO,Alberta
CPMK,MANKOTA,71204,4034910,49.099588,-107.022199,838.886,MSC,CA,AUTO,Saskatchewan
CPML,MOSSLEIGH AGCM,71057,3034577,50.672501,-113.348613,965.0,GovAB,CA,AUTO,Alberta
CPMR,ST. MARY RESERVOIR,71837,3056100,49.361389,-113.11,1128.0,GovAB,CA,AUTO,Alberta
CPNB,EVANSBURG2 AGCM,71481,3062476,53.613889,-115.062247,785.0,GovAB,CA,AUTO,Alberta
CPNS,NEW SAREPTA AGCM,71067,3014795,53.262225,-113.165002,765.0,GovAB,CA,AUTO,Alberta
CPNU,SUNNYNOOK AGCM,,3026264,51.300836,-111.388064,775.0,GovAB,CA,AUTO,Alberta
CPNX,RANFURLY AUTO,71637,3015401,53.4249,-111.7257,688.0,MSC,CA,AUTO,Alberta
CPOW,SNOW LAKE,73136,5022710,54.877882,-100.013308,308.72,MSC,CA,AUTO,Manitoba
CPOX,SASKATOON RCS,71496,4057165,52.173753,-106.718888,505.123,MSC,CA,AUTO,Saskatchewan
CPOY,CYPRESS RIVER RCS,71239,5010641,49.562407,-99.073804,375.603,MSC,CA,AUTO,Manitoba
CPPN,SOCIAL PLAINS AGCM,,3036040,50.732000,-110.214700,741.0,GovAB,CA,AUTO,Alberta
CPPR,PRINCE ALBERT GLASS FIELD,73002,4056243,53.210207,-105.676677,426.629,MSC,CA,AUTO,Saskatchewan
CPPT,PATRICIA AGCM,,3025013,50.74002,-111.621000,726.0,GovAB,CA,AUTO,Alberta
CPPV,PLEASANT VIEW,,3065200,54.963894,-113.320578,649.0,GovAB,CA,AUTO,Alberta
CPQD,THE PAS CLIMATE,71695,5052890,53.974776,-101.088925,273.69,MSC,CA,AUTO,Manitoba
CPQW,NORTH BATTLEFORD RCS,71754,4045607,52.76931,-108.250355,544.687,MSC,CA,AUTO,Saskatchewan
CPRD,PRIDDIS OBSERVATORY,,3033505,50.869167,-114.291667,1267.0,GovAB,CA,AUTO,Alberta
CPRE,RAINIER AGCM,,3035355,50.366667,-112.116667,765.0,GovAB,CA,AUTO,Alberta
CPRH,ROLLING HILLS AGCM,71105,3035530,50.265002,-111.701111,645.0,GovAB,CA,AUTO,Alberta
CPRJ,YORKTON RCS,71886,4019073,51.260003,-102.461318,498.400,MSC,CA,AUTO,Saskatchewan
CPRL,ROSALIND AGCM,71202,3015600,52.792269,-112.422369,712.0,GovAB,CA,AUTO,Alberta
CPRO,ROSEMARY AGDM,71537,3035650,50.833333,-112.05,714.0,GovAB,CA,AUTO,Alberta
CPRR,MILK RIVER RIDGE RESERVOIR,71015,3044545,49.283889,-112.538333,1305.0,GovAB,CA,AUTO,Alberta
CPRV,ROMA,73104,3075043,56.193322,-117.451958,560.18,MSC,CA,AUTO,Alberta
CPRW,RADWAY AGCM,71545,3015346,53.995001,-112.879167,625.0,GovAB,CA,AUTO,Alberta
CPRY,RAYMOND AGDM,71536,3035422,49.483333,-112.683333,937.0,GovAB,CA,AUTO,Alberta
CPSA,SEDALIA AGCM,71399,3015797,51.59028,-110.754723,755.0,GovAB,CA,AUTO,Alberta
CPSD,STANDARD AGCM,71440,3036086,51.228335,-112.981946,901.0,GovAB,CA,AUTO,Alberta
CPSH,SHONTS AGCM,71405,3015900,53.332500,-112.539446,679.0,GovAB,CA,AUTO,Alberta
CPSP,SPONDIN AGCM,71413,3016070,51.815836,-111.682501,804.0,GovAB,CA,AUTO,Alberta
CPSQ,SWEETGRASS LANDING,,3076330,58.852889,-111.997,212.0,GovAB,CA,AUTO,Alberta
CPST,STRATHMORE AGDM,71526,3036205,51.033333,-113.283333,967.0,GovAB,CA,AUTO,Alberta
CPSU,SIOUX FALLS CLIMATE,71168,9052008,43.73353,-96.623436,483.02,MSC,CA,AUTO,
CPSV,SEVEN PERSONS AGDM,71525,3035845,49.916667,-110.916667,766.0,GovAB,CA,AUTO,Alberta
CPSW,SAVANNA AGCM,71547,3075770,56.076112,-119.344724,703.0,GovAB,CA,AUTO,Alberta
CPSY,KINDERSLEY AIRPORT,73097,4043902,51.51612,-109.177866,692.551,MSC,CA,AUTO,Saskatchewan
CPTC,TEEPEE CREEK AGCM,71690,3076366,55.352224,-118.407501,670.0,GovAB,CA,AUTO,Alberta
CPTE,TIDE LAKE AGCM,,3036485,50.45557,-111.321400,766.0,GovAB,CA,AUTO,Alberta
CPTG,KLEEFELD (MAFRI),71646,5021500,49.529669,-96.915459,246.183,MSC,CA,AUTO,Manitoba
CPTO,THOMPSON AIRPORT,73072,5062918,55.79882,-97.87659,226.5,MSC,CA,AUTO,Manitoba
CPTR,TRAVERS AGCM,71848,3036500,50.303613,-112.862502,955.0,GovAB,CA,AUTO,Alberta
CPUN,PILGER,71655,4056121,52.41898,-105.153086,558.981,MSC,CA,AUTO,Saskatchewan
CPVA,VIKING AGCM,71888,3016841,53.182222,-111.731667,711.0,GovAB,CA,AUTO,Alberta
CPVR,VERGER,,3026800,50.895021,-111.955006,723.0,GovAB,CA,AUTO,Alberta
CPWB,WIMBORNE AGCM,71904,3027582,51.935836,-113.590834,940.0,GovAB,CA,AUTO,Alberta
CPWX,WASECA RCS,71663,4048521,53.131451,-109.405481,645.27,MSC,CA,AUTO,Saskatchewan
CPX4,REDWATER INDUSTRIAL AGCM,,301X002,53.8433,-113.0991,630,GovAB,CA,AUTO,Alberta
CPXB,BUFFALO AGCM,,3020950,50.798100,-110.68558,723.0,GovAB,CA,AUTO,Alberta
CPXC,BLACKIE AGCM,,3030690,50.545579,-113.640278,1019.0,GovAB,CA,AUTO,Alberta
CPXH,HAND HILLS AGCM,,3022990,51.4525,-112.135200,941.0,GovAB,CA,AUTO,Alberta
CPXS,SHEERNESS AGCM,,3025890,51.46278,-111.646400,852.0,GovAB,CA,AUTO,Alberta
CPXX,RALSTON AGCM,,3035362,50.099100,-111.21308,770.0,GovAB,CA,AUTO,Alberta
CPYQ,CHURCHILL CLIMATE,71696,5060608,58.73929,-94.075022,31.086,MSC,CA,AUTO,Manitoba
CPYS,YELLOW GRASS NORTH,73001,4019041,49.820245,-104.181048,578.506,MSC,CA,AUTO,Saskatchewan
CPZC,CAMPSIE AUTO,71636,3061201,54.1306,-114.6776,648.0,MSC,CA,AUTO,Alberta
CPZH,SLAVE LAKE RCS,71693,3065997,55.296486,-114.78445,584.0,MSC,CA,AUTO,Alberta
CPZK,KIRRIEMUIR AGCM,,3023660,51.913078,-110.358915,711.0,GovAB,CA,AUTO,Alberta
CPZL,LATHOM AGCM,,3033770,50.60029,-112.298903,810.0,GovAB,CA,AUTO,Alberta
