IATA,FR name,EN name,Province,AUTO/MAN,Latitude,Longitude,Elevation,# ICAO ID,# WMO ID,# MSC ID,DST Time,STD Time,Data Provider,Data Provider French,Data Attribution Notice,Data Attribution Notice French
8211,Margaree,Margaree,NS,AUTO,46.331,-61.002,20,,,NS-DLF_8211,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8212,Marinette,Marinette,NS,AUTO,44.969,-62.663,128,,,NS-DLF_8212,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8213,McLellans Brook,McLellans Brook,NS,AUTO,45.563,-62.61,32,,,NS-DLF_8213,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8214,Meaghers Hill,Meaghers Hill,NS,AUTO,45.491,-61.527,159,,,NS-DLF_8214,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8215,Milton,Milton,NS,AUTO,44.184,-64.825,87,,,NS-DLF_8215,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8216,Norman Tower,Norman Tower,NS,AUTO,46.429,-60.679,457,,,NS-DLF_8216,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8217,North Mountain,North Mountain,NS,AUTO,46.818,-60.671,443,,,NS-DLF_8217,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8218,Onslow Mountain,Onslow Mountain,NS,AUTO,45.428,-63.343,26,,,NS-DLF_8218,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8219,Oxford,Oxford,NS,AUTO,45.765,-63.963,63,,,NS-DLF_8219,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8220,Pockwock,Pockwock,NS,AUTO,44.774,-63.838,154,,,NS-DLF_8220,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8221,Porters Lake,Porters Lake,NS,AUTO,44.79,-63.287,120,,,NS-DLF_8221,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
8222,Shubenacadie,Shubenacadie,NS,AUTO,45.094,-63.396,10,,,NS-DLF_8222,ADT,AST,Government of Nova Scotia: Department of Lands and Forestry,Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts,Data provided by the Government of Nova Scotia: Department of Lands and Forestry (NS-DLF). All rights reserved.,Données d’observation fournies par le Gouvernement de la Nouvelle-Écosse: Département des Terres et des Forêts (NS-DLF). Tous droits réservés.
